Date,Govt,Corp,Equity,Govt,Corp,Equity,
14-Jul-20,116.2,490.64,6555.4,1.162,1.203286327,1.271550052,
15-Jul-20,116.11,491.12,6615.07,1.1611,1.204463519,1.283124234,
16-Jul-20,116.23,492.29,6592.75,1.1623,1.207332925,1.278794826,
17-Jul-20,116.18,492.89,6611.86,1.1618,1.208804414,1.282501591,
20-Jul-20,116.24,494.22,6667.45,1.1624,1.212066217,1.293284375,
21-Jul-20,116.29,495.49,6678.74,1.1629,1.215180871,1.295474295,
22-Jul-20,116.35,496.51,6717.29,1.1635,1.217682403,1.302951833,
23-Jul-20,116.59,497.63,6635.04,1.1659,1.220429185,1.286997812,
24-Jul-20,116.58,497.54,6594.1,1.1658,1.220208461,1.279056686,
27-Jul-20,116.46,496.7,6642.89,1.1646,1.218148375,1.288520475,
28-Jul-20,116.68,497.48,6599.97,1.1668,1.220061312,1.280195289,
29-Jul-20,116.7,497.68,6682.01,1.167,1.220551809,1.296108577,
30-Jul-20,116.89,498.36,6658.02,1.1689,1.222219497,1.29145524,
31-Jul-20,116.89,498.72,6709.81,1.1689,1.223102391,1.301500939,
03-Aug-20,116.8,498.35,6758.2,1.168,1.222194972,1.310887141,
04-Aug-20,117.07,499.97,6782.6,1.1707,1.226167995,1.315620005,
05-Aug-20,116.8,499.22,6826.22,1.168,1.224328633,1.324080971,
06-Aug-20,116.93,500.44,6870.86,1.1693,1.227320662,1.332739786,
07-Aug-20,116.73,499.79,6876.65,1.1673,1.225726548,1.333862871,
10-Aug-20,116.63,499.36,6895.59,1.1663,1.22467198,1.33753666,
11-Aug-20,116.29,498.34,6840.67,1.1629,1.222170448,1.326883835,
12-Aug-20,116.03,495.59,6937.44,1.1603,1.215426119,1.345654299,
13-Aug-20,115.75,493.81,6924.96,1.1575,1.211060699,1.343233555,
14-Aug-20,115.71,492.28,6924.28,1.1571,1.2073084,1.343101656,
17-Aug-20,115.81,491.96,6943.22,1.1581,1.206523605,1.346775445,
18-Aug-20,116,492.35,6960.3,1.16,1.207480074,1.35008845,
19-Aug-20,115.85,491.67,6930.8,1.1585,1.205812385,1.344366339,
20-Aug-20,116.08,492.85,6952.92,1.1608,1.208706315,1.348656953,
21-Aug-20,116.2,493.69,6977.27,1.162,1.210766401,1.353380119,
24-Aug-20,116.12,493.39,7048.17,1.1612,1.210030656,1.367132582,
25-Aug-20,115.94,492.13,7073.6,1.1594,1.206940527,1.372065236,
26-Aug-20,115.86,491.51,7145.77,1.1586,1.205419988,1.386064041,
27-Aug-20,115.45,489.24,7158.18,1.1545,1.199852851,1.388471207,
28-Aug-20,115.51,489.14,7207.1,1.1551,1.199607603,1.397960213,
31-Aug-20,115.67,490.31,7192.11,1.1567,1.202477008,1.395052605,
01-Sep-20,115.97,492.62,7246.37,1.1597,1.208142244,1.405577409,
02-Sep-20,116.18,494.74,7358.49,1.1618,1.213341508,1.427325311,
03-Sep-20,116.27,495.1,7101.38,1.1627,1.214224402,1.377453719,
04-Sep-20,115.71,492.87,7043.62,1.1571,1.208755365,1.366250019,
08-Sep-20,115.92,492.47,6848.42,1.1592,1.207774372,1.328387102,
09-Sep-20,115.85,492.01,6986.76,1.1585,1.206646229,1.355220893,
10-Sep-20,115.98,492.54,6864.23,1.1598,1.207946045,1.331453765,
11-Sep-20,116.05,493.04,6868.22,1.1605,1.209172287,1.332227705,
14-Sep-20,116.04,493.06,6957.91,1.1604,1.209221337,1.349624862,
15-Sep-20,115.99,493.1,6994.33,1.1599,1.209319436,1.356689245,
16-Sep-20,115.92,493.2,6962.29,1.1592,1.209564684,1.35047445,
17-Sep-20,115.99,493.73,6903.82,1.1599,1.2108645,1.339133032,
18-Sep-20,115.89,493.34,6826.72,1.1589,1.209908032,1.324177956,
21-Sep-20,116.04,493.51,6748.08,1.1604,1.210324954,1.308924166,
22-Sep-20,116.03,493.29,6819.08,1.1603,1.209785408,1.322696026,
23-Sep-20,116.07,492.95,6657.82,1.1607,1.208951563,1.291416446,
24-Sep-20,116.14,492,6678.04,1.1614,1.206621704,1.295338516,
25-Sep-20,116.17,490.95,6784.95,1.1617,1.204046597,1.316075834,
28-Sep-20,116.12,490.84,6894.27,1.1612,1.203776824,1.33728062,
29-Sep-20,116.16,491.19,6861.96,1.1616,1.204635193,1.331013454,
30-Sep-20,115.91,490.16,6918.83,1.1591,1.202109135,1.34204452,
